"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Costa D.D.A.; de Lucena R.F.P.; da Silva F.D.A.; da Silva G.M.B.; Massei K.; Christoffersen M.L.; Dolbeth M.","Costa, Dimítri de Araújo (57195807172); de Lucena, Reinaldo Farias Paiva (12345185600); da Silva, Francisco de Assis (56648990400); da Silva, Geuba Maria Bernardo (57226836929); Massei, Karina (57226835486); Christoffersen, Martin Lindsey (7003400081); Dolbeth, Marina (9842598600)","57195807172; 12345185600; 56648990400; 57226836929; 57226835486; 7003400081; 9842598600","Importance of rhodoliths as habitats for benthic communities in impacted environments","2021","Regional Studies in Marine Science","48","","102055","","","","3","10.1016/j.rsma.2021.102055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118511280&doi=10.1016%2fj.rsma.2021.102055&partnerID=40&md5=3d7ed7aff51685aedfa9f5d3717483a5","Article","Final","","Scopus","2-s2.0-85118511280"
"Roy S.; Hossain M.S.; Badhon M.K.; Chowdhury S.U.; Sumaiya N.; Depellegrin D.","Roy, Sanjoy (57193850603); Hossain, Md Sakhawat (57221034515); Badhon, Mahatub Khan (57209747959); Chowdhury, Sayam U. (36767220000); Sumaiya, Nusrat (57762186300); Depellegrin, Daniel (36682343400)","57193850603; 57221034515; 57209747959; 36767220000; 57762186300; 36682343400","Development and analysis of a geospatial database for maritime spatial planning in Bangladesh","2022","Journal of Environmental Management","317","","115495","","","","5","10.1016/j.jenvman.2022.115495","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132704337&doi=10.1016%2fj.jenvman.2022.115495&partnerID=40&md5=dde77b67dff614810b9b7f7f46f5047e","Article","Final","","Scopus","2-s2.0-85132704337"
"Pratiwi F.D.; Hartoyo; Kurniawan A.","Pratiwi, Fika Dewi (57203267667); Hartoyo (57947491000); Kurniawan, Andri (57226055761)","57203267667; 57947491000; 57226055761","Profile of volatile organic compounds in kepah (Polymesoda erosa Solander, 1786) collected from Jada Bahrin River of Bangka Island, Indonesia","2022","AACL Bioflux","15","5","","2597","2608","11","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140923500&partnerID=40&md5=34423f4306ed030ef37f3f1fe5726a69","Article","Final","","Scopus","2-s2.0-85140923500"
"Zhang Y.; Li Y.-D.; Yang Q.-B.; Jiang S.; Jiang S.-G.; Zhou F.-L.","Zhang, Yan (56387416800); Li, Yun-Dong (57190576500); Yang, Qi-Bin (55266123100); Jiang, Song (57198704684); Jiang, Shi-Gui (12244278200); Zhou, Fa-Lin (8212874000)","56387416800; 57190576500; 55266123100; 57198704684; 12244278200; 8212874000","Transcriptome Analysis of Metapenaeus affinis Reveals Genes Involved in Gonadal Development","2022","Israeli Journal of Aquaculture - Bamidgeh","74","","IJA.74.2022.1722195","","","","1","10.46989/001c.37738","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141481845&doi=10.46989%2f001c.37738&partnerID=40&md5=c89a28da699df97eaaa022df8080672b","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85141481845"
"Gerovasileiou V.; Bancila R.I.; Katsanevakis S.; Zenetos A.","Gerovasileiou, Vasilis (55313619300); Bancila, Raluca Ioana (36616922100); Katsanevakis, Stelios (55879579300); Zenetos, Argyro (6701722149)","55313619300; 36616922100; 55879579300; 6701722149","Introduced species in Mediterranean marine caves: an increasing but neglected threat","2022","Mediterranean Marine Science","23","4","","995","1005","10","9","10.12681/mms.31284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146976749&doi=10.12681%2fmms.31284&partnerID=40&md5=e509fb879048882e9070cd98fd7469f2","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85146976749"
"Nguyen T.-N.; Nguyen T.-D.; Duong V.-H.; Nguyen T.-T.","Nguyen, Thanh-Nam (57209260519); Nguyen, Thanh-Duong (58184824700); Duong, Van-Hao (57214223582); Nguyen, Tai-Tue (57209167167)","57209260519; 58184824700; 57214223582; 57209167167","Distribution and annual committed effective dose assessment of 210Po in popular marine species at the near-shore Binh Thuan province, Vietnam","2021","Marine Pollution Bulletin","165","","112073","","","","10","10.1016/j.marpolbul.2021.112073","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100380831&doi=10.1016%2fj.marpolbul.2021.112073&partnerID=40&md5=3d626f2e2d10c38c963e63f1aae72b3f","Article","Final","","Scopus","2-s2.0-85100380831"
"Abdel Razek F.A.; Ragheb E.; El-Deeb R.S.; Omar Ahmed H.","Abdel Razek, Fatma A. (24532823800); Ragheb, Evelyn (56589900900); El-Deeb, Rabab S. (57196003045); Omar Ahmed, Hamdy (56589577300)","24532823800; 56589900900; 57196003045; 56589577300","Growth pattern and stock assessment of Jinga shrimp Metapenaeus affinis (H. Milne Edwards, 1837) (Decapoda, Penaeidae) from the southeastern Mediterranean of the Egyptian coasts","2022","Egyptian Journal of Aquatic Research","48","1","","83","90","7","1","10.1016/j.ejar.2021.11.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122509536&doi=10.1016%2fj.ejar.2021.11.008&partnerID=40&md5=972bc59d37f29509e85f98f8bb843597","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85122509536"
"Fogliarini C.O.; Ferreira C.E.L.; Bornholdt J.; Barbosa M.C.; Giglio V.J.; Bender M.G.","Fogliarini, Carine O. (57194434432); Ferreira, Carlos E.L. (7202112414); Bornholdt, Jéssica (57224113491); Barbosa, Moysés C. (56673599900); Giglio, Vinicius J. (56458298600); Bender, Mariana G. (54390760500)","57194434432; 7202112414; 57224113491; 56673599900; 56458298600; 54390760500","Telling the same story: Fishers and landing data reveal changes in fisheries on the Southeastern Brazilian Coast","2021","PLoS ONE","16","6 June","e0252391","","","","12","10.1371/journal.pone.0252391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106982861&doi=10.1371%2fjournal.pone.0252391&partnerID=40&md5=10c761d39d859983541dd7bf941fbeee","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85106982861"
"Ribas T.F.A.; Sales J.B.D.L.; de Boer H.; Anmarkrud J.A.; Oliveira R.R.M.; Laux M.; Rosa F.D.A.S.; Oliveira G.C.; Postuma F.A.; Gasalla M.A.; Ready J.S.","Ribas, Talita Fernanda Augusto (55967600300); Sales, João Bráullio de Luna (56103525200); de Boer, Hugo (9039496600); Anmarkrud, Jarl Andreas (24330481500); Oliveira, Renato Renison Moreira (57203359996); Laux, Marcele (54883609000); Rosa, Fabricio dos Anjos Santa (57219417178); Oliveira, Guilherme Corrêa (56267565400); Postuma, Felippe A. (36698843500); Gasalla, Maria A. (8775290100); Ready, Jonathan Stuart (14018480200)","55967600300; 56103525200; 9039496600; 24330481500; 57203359996; 54883609000; 57219417178; 56267565400; 36698843500; 8775290100; 14018480200","Unexpected diversity in the diet of Doryteuthis sanpaulensis (Brakoniecki, 1984) (Mollusca: Cephalopoda) from the southern Brazilian sardine fishery identified by metabarcoding","2021","Fisheries Research","239","","105936","","","","3","10.1016/j.fishres.2021.105936","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102868049&doi=10.1016%2fj.fishres.2021.105936&partnerID=40&md5=9cba02d39247963c6fea829ae44da2a2","Article","Final","","Scopus","2-s2.0-85102868049"
"Assis J.; Failler P.; Fragkopoulou E.; Abecasis D.; Touron-Gardic G.; Regalla A.; Sidina E.; Dinis H.; Serrao E.A.","Assis, Jorge (53463298700); Failler, Pierre (14631752400); Fragkopoulou, Eliza (57203634815); Abecasis, David (23017767300); Touron-Gardic, Gregoire (57210257971); Regalla, Aissa (56655140300); Sidina, Ebaye (57373311700); Dinis, Herculano (57193831940); Serrao, Ester A. (7004093604)","53463298700; 14631752400; 57203634815; 23017767300; 57210257971; 56655140300; 57373311700; 57193831940; 7004093604","Potential Biodiversity Connectivity in the Network of Marine Protected Areas in Western Africa","2021","Frontiers in Marine Science","8","","765053","","","","4","10.3389/fmars.2021.765053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121280485&doi=10.3389%2ffmars.2021.765053&partnerID=40&md5=d8fb4c2d59cbe57da3ce76bb292cd542","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85121280485"
